0,1,2,3
#M-C=-13.00,-305.00,-166.67,1594397075.4514928
#G-C=70.00,-164.00,108.00,1594397075.4565558
#A-C=-12.29,12.29,248.83,1594397075.4654202
#M-C=-14.50,-303.33,-168.33,1594397075.471307
#G-C=72.00,-215.00,121.00,1594397075.4764152
#A-C=-11.26,8.19,237.57,1594397075.4853249
#M-C=-15.17,-302.67,-168.67,1594397075.4912891
#G-C=82.00,-182.00,132.00,1594397075.4963033
#A-C=-9.22,6.14,244.74,1594397075.505484
#M-C=-16.50,-301.83,-169.50,1594397075.5112824
#G-C=70.00,-163.00,184.00,1594397075.5162933
#A-C=-10.24,5.12,237.57,1594397075.5254662
#M-C=-17.17,-302.17,-169.83,1594397075.5316162
#G-C=69.00,-124.00,208.00,1594397075.5367422
#A-C=-18.43,11.26,234.50,1594397075.5457
#M-C=-18.33,-300.83,-170.33,1594397075.5545337
#G-C=43.00,-60.00,172.00,1594397075.5587213
#A-C=-16.38,13.31,241.66,1594397075.5654461
#M-C=-19.67,-300.50,-170.67,1594397075.5713034
#G-C=18.00,-32.00,198.00,1594397075.5776343
#A-C=-18.43,8.19,236.54,1594397075.5853477
#M-C=-21.50,-300.00,-169.67,1594397075.591173
#G-C=-5.00,0.00,250.00,1594397075.5958023
#A-C=-15.36,9.22,239.62,1594397075.6054971
#M-C=-22.33,-299.50,-169.17,1594397075.6124332
#G-C=-36.00,21.00,257.00,1594397075.6170733
#A-C=-15.36,12.29,245.76,1594397075.6265135
#M-C=-24.83,-299.00,-168.67,1594397075.6328733
#G-C=-118.00,36.00,270.00,1594397075.6389537
#A-C=-18.43,8.19,252.93,1594397075.645281
#M-C=-26.33,-298.33,-167.50,1594397075.6513758
#G-C=-212.00,71.00,210.00,1594397075.6564462
#A-C=-25.60,3.07,252.93,1594397075.6654627
#M-C=-29.33,-297.50,-164.33,1594397075.6716113
#G-C=-277.00,200.00,186.00,1594397075.6778278
#A-C=-22.53,3.07,252.93,1594397075.6853187
#M-C=-30.83,-297.50,-162.17,1594397075.6912735
#G-C=-361.00,227.00,199.00,1594397075.6965804
#A-C=-9.22,8.19,265.22,1594397075.7053258
#M-C=-32.83,-295.50,-157.17,1594397075.7112823
#G-C=-338.00,248.00,173.00,1594397075.716354
#A-C=5.12,13.31,269.31,1594397075.7263372
#M-C=-33.00,-295.17,-154.67,1594397075.7313426
#G-C=-267.00,261.00,128.00,1594397075.7375815
#A-C=-13.31,13.31,262.14,1594397075.745319
#M-C=-34.83,-292.67,-148.50,1594397075.7511857
#G-C=-306.00,243.00,161.00,1594397075.756257
#A-C=-5.12,18.43,262.14,1594397075.7654357
#M-C=-36.50,-291.17,-144.33,1594397075.7712002
#G-C=-423.00,232.00,240.00,1594397075.7767382
#A-C=-4.10,25.60,262.14,1594397075.7853448
#M-C=-40.33,-287.67,-135.33,1594397075.7912784
#G-C=-460.00,329.00,282.00,1594397075.7962945
#A-C=-7.17,18.43,261.12,1594397075.8054173
#M-C=-41.67,-285.67,-130.17,1594397075.8112695
#G-C=-448.00,366.00,259.00,1594397075.8173153
