0,1,2,3
#A-C=-9.22,3.07,241.66,1594399652.0811574
#M-C=140.00,-206.17,2.50,1594399652.0875247
#G-C=-2.00,0.00,-2.00,1594399652.094276
#A-C=-9.22,3.07,241.66,1594399652.1005287
#M-C=139.83,-206.67,2.67,1594399652.1089299
#G-C=3.00,-4.00,-13.00,1594399652.1133296
#A-C=-9.22,3.07,241.66,1594399652.1203532
#M-C=139.67,-206.17,2.67,1594399652.1263263
#G-C=-6.00,-5.00,12.00,1594399652.1316082
#A-C=-9.22,3.07,242.69,1594399652.1403832
#M-C=139.33,-206.83,2.83,1594399652.14623
#G-C=11.00,-3.00,-5.00,1594399652.1513853
#A-C=-8.19,2.05,242.69,1594399652.1604145
#M-C=139.83,-206.67,2.50,1594399652.1667914
#G-C=246.00,-3.00,-5.00,1594399652.172059
#A-C=-10.24,3.07,242.69,1594399652.180526
#M-C=139.67,-206.83,2.83,1594399652.1912577
#G-C=3.00,-4.00,5.00,1594399652.1964343
#A-C=-7.17,3.07,242.69,1594399652.2017338
#M-C=140.17,-206.33,2.83,1594399652.2066429
#G-C=-248.00,-3.00,5.00,1594399652.210947
#A-C=-9.22,2.05,242.69,1594399652.2201216
#M-C=139.50,-206.33,2.83,1594399652.226274
#G-C=5.00,-3.00,-5.00,1594399652.2327595
#A-C=-8.19,3.07,242.69,1594399652.2401805
#M-C=139.67,-206.33,2.67,1594399652.246082
#G-C=-3.00,-4.00,5.00,1594399652.252471
#A-C=-8.19,3.07,242.69,1594399652.2601805
#M-C=139.33,-206.17,3.00,1594399652.2662613
#G-C=-5.00,-255.00,248.00,1594399652.274814
#A-C=-9.22,2.05,242.69,1594399652.2803824
#M-C=140.00,-206.50,2.33,1594399652.2868922
#G-C=2.00,-2.00,5.00,1594399652.2914386
#A-C=-7.17,3.07,242.69,1594399652.3001616
#M-C=139.83,-206.33,2.83,1594399652.3063087
#G-C=5.00,255.00,-4.00,1594399652.3136787
#A-C=-9.22,4.10,241.66,1594399652.3202004
#M-C=140.17,-206.33,2.50,1594399652.3260846
#G-C=254.00,3.00,-5.00,1594399652.3318477
#A-C=-8.19,3.07,240.64,1594399652.3402486
#M-C=139.83,-206.33,2.50,1594399652.3461928
#G-C=-251.00,-2.00,6.00,1594399652.3514025
#A-C=-10.24,3.07,243.71,1594399652.3602931
#M-C=139.83,-206.00,2.17,1594399652.3673432
#G-C=17.00,-7.00,254.00,1594399652.3726273
#A-C=-9.22,2.05,241.66,1594399652.3802319
#M-C=139.50,-206.00,3.17,1594399652.3860931
#G-C=19.00,-4.00,256.00,1594399652.392535
#A-C=-10.24,3.07,243.71,1594399652.4001367
#M-C=139.83,-207.00,2.67,1594399652.4061637
#G-C=7.00,255.00,4.00,1594399652.41279
#A-C=-8.19,4.10,242.69,1594399652.4201586
#M-C=139.50,-206.67,2.83,1594399652.426285
#G-C=-11.00,-3.00,-2.00,1594399652.4324446
#A-C=-7.17,3.07,242.69,1594399652.440218
#M-C=139.83,-206.50,3.17,1594399652.4467268
#G-C=-3.00,252.00,0.00,1594399652.4520676
#A-C=-9.22,4.10,242.69,1594399652.460096
#M-C=139.50,-206.33,2.50,1594399652.4661045
#G-C=4.00,-3.00,5.00,1594399652.4717863
#A-C=-8.19,4.10,242.69,1594399652.4801624
#M-C=139.33,-206.50,3.00,1594399652.4861488
#G-C=252.00,-9.00,-12.00,1594399652.491277
#A-C=-10.24,3.07,243.71,1594399652.5003755
#M-C=139.50,-206.67,2.83,1594399652.5064385
#G-C=-2.00,0.00,-2.00,1594399652.5118732
#A-C=-10.24,3.07,242.69,1594399652.520356
#M-C=139.67,-206.67,2.67,1594399652.526128
#G-C=7.00,1.00,-5.00,1594399652.531683
#A-C=-10.24,3.07,243.71,1594399652.540241
#M-C=139.67,-205.83,2.67,1594399652.5461009
#G-C=8.00,-8.00,-2.00,1594399652.5540223
#A-C=-9.22,4.10,243.71,1594399652.5600898
#M-C=139.83,-206.50,3.00,1594399652.5660653
#G-C=-2.00,-2.00,-14.00,1594399652.571203
#A-C=-9.22,2.05,241.66,1594399652.5801518
#M-C=139.50,-206.67,2.83,1594399652.5861018
#G-C=-9.00,-3.00,-13.00,1594399652.5911963
#A-C=-9.22,3.07,243.71,1594399652.6003656
#M-C=139.67,-206.50,2.50,1594399652.6069825
#G-C=15.00,-7.00,0.00,1594399652.6134012
#A-C=-9.22,4.10,240.64,1594399652.6204581
#M-C=139.67,-206.33,3.00,1594399652.6261039
#G-C=251.00,-3.00,5.00,1594399652.6312685
#A-C=-9.22,3.07,243.71,1594399652.6402676
#M-C=139.83,-206.33,2.33,1594399652.646514
#G-C=-5.00,0.00,4.00,1594399652.6509247
#A-C=-9.22,4.10,241.66,1594399652.6603487
#M-C=139.83,-206.33,2.67,1594399652.6671085
#G-C=4.00,-7.00,0.00,1594399652.6744971
#A-C=-9.22,4.10,241.66,1594399652.6802757
#M-C=139.83,-206.50,3.00,1594399652.6861095
#G-C=7.00,-7.00,-4.00,1594399652.6930737
#A-C=-9.22,3.07,241.66,1594399652.7004006
#M-C=140.00,-206.50,2.50,1594399652.706173
#G-C=9.00,-3.00,-253.00,1594399652.7111895
#A-C=-10.24,4.10,242.69,1594399652.7202303
#M-C=139.17,-206.33,3.00,1594399652.7267654
#G-C=-3.00,0.00,3.00,1594399652.7319474
#A-C=-8.19,3.07,243.71,1594399652.7402804
#M-C=140.17,-206.00,2.83,1594399652.7461648
#G-C=-248.00,-4.00,-2.00,1594399652.7515512
#A-C=-10.24,3.07,243.71,1594399652.7602172
#M-C=139.50,-206.83,3.17,1594399652.7662723
#G-C=-249.00,-1.00,0.00,1594399652.7723982
#A-C=-8.19,3.07,242.69,1594399652.7804255
#M-C=139.83,-206.67,2.83,1594399652.7861392
#G-C=6.00,-1.00,-10.00,1594399652.7921798
#A-C=-7.17,2.05,242.69,1594399652.8002455
#M-C=139.17,-206.83,3.17,1594399652.806239
#G-C=-6.00,-9.00,-8.00,1594399652.8115652
#A-C=-9.22,3.07,240.64,1594399652.820501
#M-C=139.50,-206.67,1.67,1594399652.8306153
#G-C=0.00,-11.00,12.00,1594399652.8356154
#A-C=-8.19,3.07,242.69,1594399652.8406396
#M-C=139.67,-206.33,2.67,1594399652.8462887
#G-C=7.00,-4.00,253.00,1594399652.8505254
#A-C=-9.22,3.07,241.66,1594399652.860194
#M-C=140.00,-206.17,2.33,1594399652.8662026
#G-C=3.00,-6.00,-2.00,1594399652.8723454
#A-C=-9.22,3.07,243.71,1594399652.8800888
#M-C=139.17,-206.00,3.00,1594399652.886113
#G-C=251.00,1.00,-10.00,1594399652.891312
#A-C=-9.22,4.10,241.66,1594399652.9013252
#M-C=140.00,-206.50,2.17,1594399652.9087794
#G-C=-243.00,-4.00,0.00,1594399652.91367
#A-C=-9.22,4.10,242.69,1594399652.9203374
#M-C=139.50,-206.50,2.83,1594399652.9261625
#G-C=-252.00,-5.00,0.00,1594399652.9313338
#A-C=-9.22,3.07,242.69,1594399652.9403882
#M-C=139.83,-206.50,2.17,1594399652.9492986
#G-C=-14.00,-4.00,-8.00,1594399652.9549263
#A-C=-8.19,3.07,241.66,1594399652.9601562
#M-C=139.17,-206.33,2.67,1594399652.9661512
#G-C=-7.00,-2.00,-255.00,1594399652.970824
#A-C=-9.22,4.10,241.66,1594399652.9801364
#M-C=139.83,-206.67,2.67,1594399652.9860883
#G-C=-6.00,1.00,-252.00,1594399652.9911904
#A-C=-9.22,3.07,242.69,1594399653.001411
#M-C=139.67,-206.17,3.00,1594399653.0067635
#G-C=9.00,255.00,6.00,1594399653.0117884
#A-C=-9.22,4.10,241.66,1594399653.020073
#M-C=139.83,-206.50,2.17,1594399653.0264227
#G-C=2.00,-9.00,-6.00,1594399653.033036
#A-C=-10.24,3.07,243.71,1594399653.0403605
#M-C=139.17,-207.00,2.67,1594399653.0460682
#G-C=9.00,-7.00,-12.00,1594399653.0502465
#A-C=-8.19,2.05,242.69,1594399653.0601993
#M-C=139.17,-206.67,1.67,1594399653.0670505
#G-C=-246.00,-10.00,-7.00,1594399653.074132
#A-C=-9.22,3.07,242.69,1594399653.080123
#M-C=139.50,-206.50,3.17,1594399653.0860524
#G-C=-2.00,3.00,-2.00,1594399653.0910306
#A-C=-8.19,2.05,242.69,1594399653.1002722
#M-C=139.50,-206.83,2.17,1594399653.1063175
#G-C=-7.00,2.00,1.00,1594399653.111499
#A-C=-9.22,4.10,243.71,1594399653.12034
#M-C=139.50,-206.33,2.83,1594399653.1261766
#G-C=-8.00,-3.00,2.00,1594399653.132793
#A-C=-10.24,3.07,243.71,1594399653.1402466
#M-C=140.00,-206.67,1.00,1594399653.1462524
#G-C=-2.00,-6.00,0.00,1594399653.1517265
#A-C=-9.22,3.07,242.69,1594399653.1602128
#M-C=139.83,-206.50,2.83,1594399653.1680338
#G-C=-1.00,250.00,4.00,1594399653.1733432
#A-C=-8.19,3.07,242.69,1594399653.1802104
#M-C=140.00,-206.33,2.33,1594399653.186721
#G-C=2.00,6.00,-6.00,1594399653.1918552
#A-C=-9.22,4.10,242.69,1594399653.200179
#M-C=140.00,-206.17,2.50,1594399653.2060876
#G-C=4.00,-5.00,6.00,1594399653.2111385
#A-C=-11.26,4.10,242.69,1594399653.220097
#M-C=139.83,-206.17,3.00,1594399653.2263362
#G-C=-246.00,-3.00,-8.00,1594399653.2307596
#A-C=-9.22,3.07,242.69,1594399653.2403586
#M-C=140.00,-206.67,2.67,1594399653.246161
#G-C=17.00,-4.00,-4.00,1594399653.2530675
#A-C=-9.22,4.10,240.64,1594399653.2602923
#M-C=139.33,-206.33,3.00,1594399653.2664146
#G-C=-4.00,3.00,256.00,1594399653.2727332
#A-C=-10.24,3.07,241.66,1594399653.2803457
#M-C=139.17,-206.33,3.00,1594399653.286839
#G-C=-2.00,-12.00,-6.00,1594399653.2918386
#A-C=-8.19,2.05,244.74,1594399653.3002126
#M-C=139.17,-206.17,2.83,1594399653.3061662
#G-C=-3.00,-4.00,-5.00,1594399653.3126798
#A-C=-9.22,2.05,240.64,1594399653.3201315
#M-C=139.50,-206.17,3.33,1594399653.326314
#G-C=7.00,-5.00,-15.00,1594399653.3309875
#A-C=-10.24,4.10,240.64,1594399653.3402722
#M-C=139.83,-206.67,2.83,1594399653.3462129
#G-C=255.00,0.00,-4.00,1594399653.353434
#A-C=-8.19,2.05,242.69,1594399653.3603208
#M-C=139.33,-206.50,2.83,1594399653.3660586
#G-C=-8.00,-2.00,-3.00,1594399653.3712656
#A-C=-7.17,2.05,243.71,1594399653.3801985
#M-C=139.83,-206.33,2.50,1594399653.388015
#G-C=4.00,-2.00,3.00,1594399653.3941681
